Brain name,Time to update policy,Time since start of training,Time for last experience collection,Number of experiences used for training,Mean return
BadmintonBrain,1.559,19.840,15.243,6002,-0.587
BadmintonBrain,0.956,44.666,22.027,6000,-0.585
BadmintonBrain,0.877,62.325,14.999,6000,-0.583
BadmintonBrain,0.871,79.028,14.066,6000,-0.572
BadmintonBrain,0.874,95.827,14.149,6000,-0.558
BadmintonBrain,0.884,112.563,14.091,6000,-0.542
BadmintonBrain,0.871,129.277,14.085,6000,-0.520
BadmintonBrain,0.879,146.081,14.155,6000,-0.492
BadmintonBrain,0.871,162.918,14.199,6000,-0.469
BadmintonBrain,0.879,179.636,14.083,6000,-0.450
BadmintonBrain,0.883,196.354,14.080,6000,-0.432
BadmintonBrain,0.879,213.138,14.149,6000,-0.414
BadmintonBrain,0.879,229.800,14.037,6000,-0.397
BadmintonBrain,0.871,246.497,14.070,6000,-0.381
BadmintonBrain,0.869,263.167,14.060,6000,-0.366
BadmintonBrain,0.869,279.843,14.063,6000,-0.352
BadmintonBrain,0.877,296.758,14.031,6000,-0.340
BadmintonBrain,0.871,313.529,14.153,6000,-0.326
BadmintonBrain,0.878,330.279,14.133,6000,-0.315
BadmintonBrain,0.877,346.993,14.099,6000,-0.303
BadmintonBrain,0.892,363.709,14.079,6000,-0.291
BadmintonBrain,0.879,380.385,14.061,6000,-0.281
BadmintonBrain,0.872,397.168,14.169,6000,-0.271
BadmintonBrain,0.873,413.900,14.121,6000,-0.261
BadmintonBrain,0.880,430.724,14.191,6000,-0.252
BadmintonBrain,0.872,447.426,14.102,6000,-0.243
BadmintonBrain,0.883,464.235,14.192,6000,-0.236
BadmintonBrain,0.877,480.979,14.137,6000,-0.229
BadmintonBrain,0.877,497.701,14.117,6000,-0.223
BadmintonBrain,0.882,514.396,14.085,6000,-0.217
BadmintonBrain,0.884,531.133,14.128,6000,-0.211
BadmintonBrain,0.878,547.917,14.182,6000,-0.205
BadmintonBrain,0.878,564.660,14.147,6000,-0.199
BadmintonBrain,0.854,580.774,13.641,5802,-0.194
BadmintonBrain,0.877,597.490,14.073,6000,-0.189
BadmintonBrain,0.877,614.277,14.137,6000,-0.184
BadmintonBrain,0.883,631.064,14.135,6000,-0.181
BadmintonBrain,0.890,647.826,14.106,6000,-0.176
BadmintonBrain,0.876,664.578,14.115,6000,-0.172
BadmintonBrain,0.874,681.420,14.204,6000,-0.167
BadmintonBrain,0.874,698.248,14.189,6000,-0.164
BadmintonBrain,0.881,715.049,14.163,6000,-0.160
BadmintonBrain,0.879,731.820,14.135,6000,-0.156
BadmintonBrain,0.874,748.583,14.131,6000,-0.152
BadmintonBrain,0.870,765.350,14.147,6000,-0.149
BadmintonBrain,0.879,782.124,14.141,6000,-0.145
BadmintonBrain,0.877,798.870,14.117,6000,-0.142
BadmintonBrain,0.880,815.608,14.115,6000,-0.139
BadmintonBrain,0.876,832.380,14.157,6000,-0.135
BadmintonBrain,0.887,849.400,14.137,6000,-0.133
BadmintonBrain,0.882,866.194,14.164,6000,-0.129
BadmintonBrain,0.879,882.949,14.138,6000,-0.127
BadmintonBrain,0.881,899.676,14.109,6000,-0.124
BadmintonBrain,0.876,916.439,14.152,6000,-0.121
BadmintonBrain,0.870,933.155,14.106,6000,-0.118
BadmintonBrain,0.868,949.907,14.150,6000,-0.116
BadmintonBrain,0.883,966.656,14.126,6000,-0.113
BadmintonBrain,0.878,983.433,14.168,6000,-0.111
BadmintonBrain,0.877,1000.174,14.131,6000,-0.109
BadmintonBrain,0.882,1016.895,14.117,6000,-0.107
BadmintonBrain,0.903,1033.759,14.214,6000,-0.105
BadmintonBrain,0.880,1050.474,14.114,6000,-0.102
BadmintonBrain,0.884,1067.214,14.134,6000,-0.101
BadmintonBrain,0.870,1083.910,14.104,6000,-0.099
BadmintonBrain,0.871,1100.681,14.176,6000,-0.096
BadmintonBrain,0.896,1117.403,14.104,6000,-0.095
